workload,format,width,offset,ext_offset,trial,eoc,ret,golden_ret,class,se_a,se_b,mac_acc,rs1,rs2,op,fmt_hw,inflight,rd,id
qnn,mxfp8_e5m2,-5,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-5,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-5,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-6,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-6,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-6,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-7,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-7,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-7,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-11,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-11,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-11,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-12,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-12,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-12,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-13,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-13,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-13,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-14,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-14,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-14,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-15,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-15,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-15,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-16,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-16,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-16,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-17,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-17,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-17,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-18,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-18,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-18,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-19,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-19,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-19,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-20,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-20,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-20,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-21,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-21,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-21,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-22,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-22,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-22,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-23,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-23,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-23,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-24,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-24,0,50,1,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-24,0,50,2,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,100,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,150,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,200,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,250,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,300,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,350,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,400,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,450,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-8,0,500,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,100,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,150,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,200,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,250,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,300,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,350,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,400,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,450,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-9,0,500,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,50,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,100,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,150,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,200,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,250,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,300,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,350,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,400,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,450,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
qnn,mxfp8_e5m2,-10,0,500,0,1,11,11,normal,127,127,0,1195722821,188,4,4,0,0,7
